location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
VALLADOLID (SPAIN) ,8141,41.38 ,-04.45 ,13/02/2019,23Z,5.2,67%,1031.5 Hpa,360º (N),1.8,-,-,-,-,-,-,-,-
,,,,13/02/2019,22Z,6.3,61%,1030.8 Hpa,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,13/02/2019,21Z,7.2,55%,1030.3 Hpa,330º (NW),1.8,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,20Z,8.3,48%,1029.8 Hpa,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,13/02/2019,19Z,9.6,47%,1029.2 Hpa,280º (W),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,18Z,11.8,41%,1028.1 Hpa,300º (NW),5.4,0/8,-,-,-,-,15.6,-,Clear
,,,,13/02/2019,17Z,13.7,37%,1027.3 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,16Z,14.9,34%,1027.1 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,15Z,15.3,32%,1027.0 Hpa,180º (S),1.8,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,14Z,14.4,35%,1027.8 Hpa,230º (SW),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,13Z,12.4,40%,1029.1 Hpa,180º (S),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,12Z,9.3,51%,1031.0 Hpa,100º (E),3.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,11Z,6.4,59%,1032.2 Hpa,130º (SE),5.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,10Z,3.5,68%,1033.2 Hpa,70º (E),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,09Z,0.7,79%,1034.3 Hpa,360º (N),3.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,08Z,-1.5,88%,1034.6 Hpa,50º (NE),1.8,-,-,-,-,-,-,-,-
,,,,13/02/2019,07Z,-1.7,88%,1034.3 Hpa,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,13/02/2019,06Z,-1.1,83%,1034.1 Hpa,20º (N),1.8,1/8,-,-,CI,-,-,-1.1,Few clouds
,,,,13/02/2019,05Z,-0.4,83%,1033.7 Hpa,120º (SE),1.8,-,-,-,-,-,-,-,-
