"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"ALMERIA/AEROPUERTO (SPAIN) ","08487","36.50 ","-02.21","13/02/2019","23Z","10.8","73%","1031.6 Hpa","50º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","11.7","71%","1031.4 Hpa","60º (NE)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","12.3","70%","1030.9 Hpa","60º (NE)","22.3","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","20Z","12.7","67%","1030.3 Hpa","60º (NE)","27.7","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","12.9","65%","1030.0 Hpa","60º (NE)","27.7","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","13.7","63%","1029.4 Hpa","70º (E)","33.5","0/8","-","-","-","-","18.8","-","Clear"
,,,,"13/02/2019","17Z","15.5","55%","1029.3 Hpa","80º (E)","37.1","-","-","-","-","-","-","-","Precipitation"
,,,,"13/02/2019","16Z","16.9","45%","1029.0 Hpa","70º (E)","35.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","18.1","43%","1029.1 Hpa","80º (E)","33.5","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","14Z","18.4","43%","1029.5 Hpa","80º (E)","29.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","18.1","46%","1029.9 Hpa","80º (E)","29.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","17.8","45%","1030.6 Hpa","70º (E)","27.7","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","16.6","49%","1031.0 Hpa","60º (NE)","35.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","15.7","52%","1031.4 Hpa","60º (NE)","29.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","13.6","55%","1031.4 Hpa","350º (N)","13.0","1/8","1/8 CU","-","-","-","-","-","Few clouds"
,,,,"13/02/2019","08Z","9.9","64%","1031.2 Hpa","330º (NW)","20.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","9.5","69%","1030.7 Hpa","330º (NW)","16.6","-","-","-","-","-","-","-","-"
