location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ALICANTE (SPAIN) ,8359,38.22 ,-00.29,31/12/2018,23Z,7.2,52%,1030.5 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,22Z,7.1,51%,1030.6 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,21Z,7.3,53%,1031.0 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,20Z,7.6,58%,1030.9 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,19Z,8.9,56%,1030.7 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,18Z,10.8,51%,1030.4 Hpa,320º (NW),3.6,-,-,-,-,-,20.6,-,-
,,,,31/12/2018,17Z,13.8,43%,1030.0 Hpa,190º (S),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,16Z,16.7,32%,1029.7 Hpa,160º (S),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,15Z,19.3,25%,1029.3 Hpa,160º (S),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,14Z,20.5,22%,1029.0 Hpa,160º (S),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,13Z,20.3,23%,1029.1 Hpa,190º (S),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,12Z,19.8,26%,1029.9 Hpa,180º (S),3.6,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,11Z,16.7,33%,1030.8 Hpa,220º (SW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,10Z,12.2,46%,1031.3 Hpa,320º (NW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,09Z,7.6,59%,1031.3 Hpa,280º (W),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,08Z,4.9,65%,1031.0 Hpa,320º (NW),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,07Z,5.9,58%,1030.3 Hpa,310º (NW),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,06Z,6.0,62%,1029.5 Hpa,290º (W),5.4,0/8,-,-,-,-,-,4.7,Clear
,,,,31/12/2018,05Z,5.5,65%,1029.6 Hpa,310º (NW),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,04Z,5.0,72%,1029.8 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,03Z,4.8,74%,1030.3 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,02Z,5.0,75%,1030.2 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,01Z,5.5,75%,1030.2 Hpa,310º (NW),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,00Z,5.8,82%,1030.5 Hpa,310º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,23Z,6.6,85%,1030.3 Hpa,310º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,22Z,7.3,87%,1030.1 Hpa,310º (NW),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,21Z,7.1,85%,1030.2 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,20Z,8.0,84%,1030.2 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,19Z,9.2,83%,1029.8 Hpa,340º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,18Z,10.6,77%,1029.4 Hpa,300º (NW),1.8,-,-,-,-,-,16.7,-,-
,,,,30/12/2018,17Z,12.9,70%,1029.0 Hpa,120º (SE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,16Z,14.8,64%,1028.6 Hpa,130º (SE),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,15Z,16.5,56%,1028.5 Hpa,150º (SE),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,14Z,16.4,54%,1028.3 Hpa,130º (SE),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,13Z,16.2,52%,1028.5 Hpa,90º (E),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,12Z,15.8,52%,1029.2 Hpa,70º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,11Z,14.5,55%,1030.0 Hpa,10º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,10Z,11.7,68%,1030.6 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,09Z,8.1,79%,1030.9 Hpa,280º (W),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,08Z,5.4,88%,1030.6 Hpa,300º (NW),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,07Z,4.6,91%,1030.1 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,06Z,4.9,90%,1029.6 Hpa,310º (NW),3.6,-,-,-,-,Tr(24h),-,4.9,-
,,,,30/12/2018,05Z,5.9,86%,1029.1 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,04Z,6.3,87%,1029.3 Hpa,300º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,03Z,6.0,92%,1030.2 Hpa,310º (NW),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,02Z,6.4,90%,1030.4 Hpa,330º (NW),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,01Z,6.6,88%,1029.9 Hpa,310º (NW),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,00Z,7.7,85%,1030.1 Hpa,340º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,23Z,8.5,83%,1030.1 Hpa,360º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,22Z,9.4,82%,1029.9 Hpa,360º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,21Z,10.3,79%,1030.0 Hpa,340º (N),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,20Z,11.7,74%,1029.5 Hpa,30º (NE),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,19Z,13.0,76%,1029.4 Hpa,40º (NE),7.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,18Z,13.2,75%,1029.0 Hpa,60º (NE),7.6,-,-,-,-,Tr(12h),15.8,-,-
,,,,29/12/2018,17Z,13.9,71%,1028.4 Hpa,80º (E),11.2,-,-,-,-,-,-,-,-
,,,,29/12/2018,16Z,14.2,70%,1028.2 Hpa,80º (E),11.2,-,-,-,-,-,-,-,-
,,,,29/12/2018,15Z,15.0,66%,1028.0 Hpa,60º (NE),11.2,-,-,-,-,Tr(3h),-,-,-
,,,,29/12/2018,14Z,14.6,65%,1027.6 Hpa,40º (NE),7.6,-,-,-,-,Tr(1h),-,-,Rain
